variables,code,PCapita plastic waste (kg per person per day),gdp_pc,otalpopulatio,year,Mismanaged plastic waste (tonnes),coastal_pop,variables
Iceland,ISL,0.281,$38978.0055953415,320136,2011,598,292708,Iceland
India,IND,0.01,$4404.69700530387,1224614327,2011,599819,187493433,India
Indonesia,IDN,0.057,$8433.49735678452,239870937,2011,3216856,187223476,Indonesia
Iran,IRN,0.144,$17942.832842614298,73973630,2011,247403,9099695,Iran
Iraq,IRQ,0.103,$12717.5975271684,31671591,2011,15563,639228,Iraq
Ireland,IRL,0.43,$44030.414148705495,4469900,2011,11710,3749576,Ireland
Israel,ISR,0.297,$29743.0058727916,7418400,2011,19007,6677810,Israel
Italy,ITA,0.134,$36201.1615672134,60550848,2011,32761,33822532,Italy
Jamaica,JAM,0.034,$7996.019487958729,2741052,2011,10019,2820558,Jamaica
Japan,JPN,0.171,$35749.756678878395,126535920,2011,143121,115228891,Japan
Jordan,JOR,0.144,$9472.76832624669,6187227,2011,1737,55392,Jordan
Kenya,KEN,0.027,$2476.01074216401,40512682,2011,22658,2729945,Kenya
Kiribati,KIR,0.103,$1731.53862650466,99546,2011,3045,94487,Kiribati
Kuwait,KWT,0.686,$75204.145116617,2736732,2011,11489,2293604,Kuwait
Latvia,LVA,0.124,$18251.9532813473,2252060,2011,10284,1432078,Latvia
Lebanon,LBN,0.094,$16451.7598336606,4227597,2011,47815,3890871,Lebanon
Liberia,LBR,0.084,$699.6537215105991,3994122,2011,56728,2148271,Liberia
Libya,LBY,0.144,$29630.222148462202,6355112,2011,52779,4050128,Libya
Lithuania,LTU,0.132,$21070.6343301646,3323611,2011,3479,443894,Lithuania
Macao,MAC,0.368,$98184.3365009534,543656,2011,698,257911,Macao
Madagascar,MDG,0.016,$1385.68507168039,20713819,2011,34522,7062413,Madagascar
Malaysia,MYS,0.198,$21107.267937252294,28401017,2011,936818,22890252,Malaysia
Maldives,MDV,0.322,$12005.5046183167,315885,2011,31469,392567,Maldives
Malta,MLT,0.214,$28364.7993209208,416515,2011,2620,404707,Malta
Marshall Islands,MHL,0.192,$3479.1553034068293,54038,2011,3187,58086,Marshall Islands
Martinique,MTQ,0.252,,405814,2011,749,402257,Martinique
Mauritania,MRT,0.045,$3316.97478042489,3459773,2011,13854,1005481,Mauritania
Mauritius,MUS,0.23,$15938.419208978201,1299172,2011,56051,1255952,Mauritius
Mexico,MEX,0.087,$15715.9721449501,113423047,2011,101343,22647771,Mexico
Micronesia (country),FSM,0.103,$3297.65693360804,NOT KNOWN,2011,4794,154895,Micronesia (country)
Monaco,MCO,0.252,,35407,2011,62,34050,Monaco
Montenegro,MNE,0.144,$14034.5845640087,631490,2011,4416,260336,Montenegro
Montserrat,MSR,0.144,,5934,2011,38,5173,Montserrat
Morocco,MAR,0.073,$6443.25361319481,31951412,2011,310126,17303431,Morocco
Mozambique,MOZ,0.015,$917.763832040531,23390765,2011,45995,9566559,Mozambique
Myanmar,MMR,0.075,$3721.21144009279,47963012,2011,458269,18988522,Myanmar
Namibia,NAM,0.144,$8460.84736812378,2283289,2011,5480,155084,Namibia
Nauru,NRU,0.144,$6592.43683574598,10255,2011,554,15289,Nauru
